GEO_ID,NAME,P001001
0400000US01,Alabama,4779736(r38235)
0400000US02,Alaska,710231(r38823)
0400000US04,Arizona,6392017
0400000US05,Arkansas,2915918(r39193)
0400000US06,California,37253956
0400000US08,Colorado,5029196
0400000US09,Connecticut,3574097
0400000US10,Delaware,897934
0400000US11,District of Columbia,601723(r39494)
0400000US12,Florida,18801310(r40184)
0400000US13,Georgia,9687653(r41102)
0400000US15,Hawaii,1360301
0400000US16,Idaho,1567582(r41542)
0400000US17,Illinois,12830632
0400000US18,Indiana,6483802
0400000US19,Iowa,3046355
0400000US20,Kansas,2853118
0400000US21,Kentucky,4339367
0400000US22,Louisiana,4533372
0400000US23,Maine,1328361
0400000US24,Maryland,5773552(r42264)
0400000US25,Massachusetts,6547629
0400000US26,Michigan,9883640(r45127)
0400000US27,Minnesota,5303925
0400000US28,Mississippi,2967297
0400000US29,Missouri,5988927
0400000US30,Montana,989415
0400000US31,Nebraska,1826341
0400000US32,Nevada,2700551
0400000US33,New Hampshire,1316470
0400000US34,New Jersey,8791894(r46246)
0400000US35,New Mexico,2059179(r46748)
0400000US36,New York,19378102
0400000US37,North Carolina,9535483
0400000US38,North Dakota,672591
0400000US39,Ohio,11536504
0400000US40,Oklahoma,3751351
0400000US41,Oregon,3831074
0400000US42,Pennsylvania,12702379
0400000US44,Rhode Island,1052567
0400000US45,South Carolina,4625364
0400000US46,South Dakota,814180(r48166)
0400000US47,Tennessee,6346105
0400000US48,Texas,25145561(r48514)
0400000US49,Utah,2763885
0400000US50,Vermont,625741
0400000US51,Virginia,8001024
0400000US53,Washington,6724540
0400000US54,West Virginia,1852994
0400000US55,Wisconsin,5686986
0400000US56,Wyoming,563626