POLLSTER,METHOD,POLLS ANALYZED,SIMPLE AVERAGE ERROR,RACES CALLED CORRECTLY,ADVANCED +/-,PREDICTIVE +/-,538 GRADE,MEAN-REVERTED BIAS
Marist College,Live,183,5.4,84%,-1,-1,A+,R+0.3
Monmouth University,Live,108,5.4,81%,-2,-1.6,A+,D+1.3
ABC News/The Washington Post,Live,73,2.8,72%,-1.7,-1.3,A+,D+0.5
Siena College/The New York Times Upshot,Live,59,3.9,69%,-1.5,-1.1,A+,R+0.3
Selzer & Co.,Live,48,4.6,79%,-1.8,-1.3,A+,D+0.1
Muhlenberg College,Live,29,3.4,84%,-2.3,-1,A+,R+0.2
SurveyUSA,IVR/online/live,787,4.7,89%,-1.1,-0.8,A,D+0.1
Suffolk University,Live,88,5.1,79%,-0.6,-0.6,A,D+0.6
CBS News/The New York Times,Live,62,4.3,76%,-1,-0.7,A,D+0.4
Emerson College,IVR/online/text,165,5.4,80%,-0.7,-0.4,A-,D+0.3
Siena College,Online/live,53,4.9,90%,-0.9,-0.5,A-,R+0.7
Fox News/Beacon Research/Shaw & Co. Research,Live,40,5.6,71%,-0.5,-0.5,A-,D+1.4
RKM Research and Communications Inc.,Live,34,5.3,87%,-1.2,-0.3,A-,R+0.1
NBC News/The Wall Street Journal,Live,31,4,73%,-0.7,-0.4,A-,D+0.6
University of Cincinnati (Ohio Poll),Live,39,3.9,94%,-0.9,-0.6,A/B,R+1.3
Los Angeles Times,Live,36,4.6,85%,-0.8,-0.6,A/B,R+0.1
Princeton Survey Research Associates International,Live,35,5.1,63%,0.1,-0.3,A/B,D+0.5
Georgetown University (Battleground),Live,35,3.4,57%,-0.3,-0.3,A/B,R+0.6
Fox News/Opinion Dynamics Corp.,Live*,34,3.9,72%,-0.3,-0.4,A/B,R+0.3
Grove Insight,Live,29,3,90%,-3,-0.7,A/B,D+0.5
IBD/TIPP,Online/live,27,2.2,78%,-1.6,-0.6,A/B,R+0.8
Field Research Corp. (Field Poll),Live,25,3.9,100%,-2,-1.1,A/B,R+0.7
Market Shares Corp.,Live,25,5.8,84%,-0.1,-0.3,A/B,R+1.1
KRC/Communications Research,Live*,22,7.1,91%,-0.5,-0.5,A/B,D+0.1
Elway Research,Live/text,21,3.9,90%,-2.6,-0.2,A/B,D+0.8
Fairleigh Dickinson University (PublicMind),Live,19,3.9,95%,-1.4,-0.7,A/B,D+0.0
University of Massachusetts Lowell,Online,19,7.2,74%,-0.6,-0.1,A/B,R+0.2
Blum & Weprin Associates,Live,19,4.8,95%,-2.1,-0.1,A/B,R+0.7
MassINC Polling Group,Online/live,18,4.9,83%,-1.6,-0.7,A/B,R+0.7
Fleming & Associates,Live,17,5,100%,-1.7,-0.1,A/B,R+0.4
Public Policy Institute of California,Live,16,5.2,100%,0,-0.3,A/B,R+1.0
Ciruli Associates,Live,16,3.5,94%,-2.5,-0.8,A/B,R+0.4
Cygnal,IVR/online/live/text,13,3,92%,-3,-0.1,A/B,D+1.0
Marquette University Law School,Live,12,2.8,79%,-2.8,-1,A/B,D+0.2
National Journal,Live,12,2.6,100%,-3.2,-0.8,A/B,R+0.1
St. Norbert College,Live,12,3.9,88%,-2.4,-0.2,A/B,D+0.2
Western New England University,Live,10,4.3,100%,-2.5,-0.6,A/B,R+0.3
Abt Associates,Live,10,3.8,90%,-0.3,-0.3,A/B,D+0.8
Stockton University,Live,10,4,100%,-1.4,-0.8,A/B,D+0.7
National Research Inc.,Live,10,5.1,75%,-1.7,-0.1,A/B,R+0.5
Data Orbital,Live,9,2.3,94%,-2.4,-0.9,A/B,D+0.3
University of North Florida,Online/live,9,4,44%,-0.4,-0.1,A/B,D+0.7
Behavior Research Center (Rocky Mountain Poll),Live,8,3.1,75%,-2.7,-0.7,A/B,D+0.1
Elon University,Online/live,8,3.2,56%,-1,-0.1,A/B,D+0.5
"North Star Opinion Research/Ayres, McHenry & Associates",Live,8,5.5,94%,-3.5,0,A/B,R+0.6
University of Connecticut,Live,7,4,93%,-1.4,-0.6,A/B,R+0.3
Yankelovich Partners Inc.,Live*,7,8.1,50%,0.2,-0.4,A/B,R+0.0
Temple University,Live*,6,3.7,100%,-1.4,-0.6,A/B,R+0.2
Middle Tennessee State University,Live,5,9.3,100%,2.1,-0.1,A/B,D+0.6
Wirthlin Worldwide,Live*,4,4.5,75%,-1.6,-0.5,A/B,R+0.2
Castleton University,Live,3,9.9,100%,-1,-0.5,A/B,
Winthrop University,Live,2,12,100%,0.6,-0.3,A/B,D+0.0
Indiana University,Live,2,0.9,100%,-4.7,-0.5,A/B,D+0.0
Michigan State University,Live,2,1,100%,-7.7,-0.6,A/B,R+0.0
Gordon S. Black Corp.,Live*,2,6.4,100%,0.5,-0.4,A/B,R+0.1
Louis Harris & Associates,Live*,2,0.9,100%,-5.2,-0.5,A/B,D+0.0
University of Florida,Live,1,1.1,50%,-1,-0.4,A/B,D+0.0
Public Religion Research Institute,Online/live,1,0.4,100%,-2.9,-0.1,A/B,D+0.0
University of Illinois at Chicago,Live*,1,14.1,100%,7.2,-0.3,A/B,R+0.2
Harvard University,Live*,1,6.8,0%,0.7,-0.4,A/B,D+0.1
Market Strategies International,Live*,1,1.1,100%,-5.4,-0.5,A/B,R+0.0
Mason-Dixon Polling & Strategy,Live,433,5.1,87%,-0.6,-0.3,B+,R+0.6
Quinnipiac University,Live,207,4.6,83%,-0.2,-0.2,B+,D+0.2
CNN/Opinion Research Corp.,Live,103,5.5,72%,-0.2,-0.2,B+,D+0.0
Public Opinion Strategies,Online/live,64,5.7,70%,-0.4,0,B+,R+1.5
EPIC-MRA,Live,49,5.5,78%,-0.8,-0.2,B+,R+0.2
Research & Polling Inc.,Live,32,4.5,84%,-1.5,-0.2,B+,R+0.9
Angus Reid Global,Online,30,3.2,93%,-2.6,0,B+,R+1.2
Public Policy Polling,IVR/text,423,5,80%,-0.4,0.1,B,D+0.3
YouGov,Online,416,4.9,88%,-0.2,0.3,B,D+0.4
American Research Group,Live,273,7.4,75%,0.3,0.2,B,R+0.2
Gallup,Live,84,4.3,69%,0.6,0.1,B,R+0.4
GQR Research (GQRR),Online/live,57,4.5,56%,0.1,0.1,B,D+2.1
Landmark Communications,IVR/live,39,4.8,82%,-0.8,0,B,D+1.5
Opinion Savvy/InsiderAdvantage,IVR/online,119,7.2,70%,0.3,0.4,B-,D+1.1
University of New Hampshire,Live,112,5.9,85%,0.5,0.3,B-,D+2.8
Ipsos,Online,66,4.6,70%,0.4,0.5,B-,D+0.4
Dan Jones & Associates,Online/live,38,6.9,95%,-0.2,0.4,B-,D+1.0
Data for Progress,Online/text,31,8.9,81%,-0.2,0.5,B-,D+0.0
Research Co.,Online,21,4.1,88%,-1.9,0.3,B-,R+0.5